OCQLF,01 COMMUNIQUE LABORATORY INC,BBG000GGBTC7
ADXRF,ADX ENERGY LTD,BBG000F9TWN6
APLN,AE ENERGY HOLDING I INC,BBG000MW1Z50
AECS,AEC HOLDINGS CORP,BBG000D9H1S4
ACM,AECOM TECHNOLOGY CORP,BBG000F61RJ8
AEGXF,AECON GROUP INC,BBG000DVS924
AEGA,AEGEA INC,BBG001KFNDB5
ANW,AEGEAN MARINE PETROLEUM NETW,BBG000KXYX77
AEGR,AEGERION PHARMACEUTICALS INC,BBG000PX4P81
AEGN,AEGION CORP,BBG000KPWTD8
AEGOF,AEGON NV,BBG000J637R7
AEHR,AEHR TEST SYSTEMS,BBG000BWM083
AMTX,AEMETIS INC,BBG000BWBZY9
AOLS,AEOLUS PHARMACEUTICALS INC,BBG000KPX4M2
AONNF,AEON CO LTD,BBG000C8XSP3
ANDGF,AEON DELIGHT CO LTD,BBG006LHYJW1
AEOJF,AEON FINANCIAL SERVICE CO LT,BBG000PRCM28
AMLLF,AEON MALL CO LTD,BBG000F3GR27
AEPI,AEP INDUSTRIES INC,BBG000BB9Z23
AERN,AER ENERGY RESOURCES INC,BBG000BH7Z31
AELGF,AER LINGUS GROUP PLC,BBG000Q9CRF2
AER,AERCAP HOLDINGS NV,BBG000Q9FZL4
AERI,AERIE PHARMACEUTICALS INC,BBG001KJ7WJ5
AERS,AERIUS INC,BBG000HS9S44
AERO,AERO GROW INTERNATIONAL INC,BBG000QMTJ72
ACSTF,AEROCAST INC,BBG000WD2C79
ACY,AEROCENTURY CORP,BBG000B9WP24
ACNOF,AEROCRINE AB - B,BBG001QWWFY2
AERUF,AEROFLOT-RUSSIAN AIRLINES,BBG000CQPJK7
AFML,AEROFOAM METALS INC,BBG000BNFQN7
HIVE,AEROHIVE NETWORKS INC,BBG001DJVMM4
ARO,AEROPOSTALE INC,BBG000BG7986
AVAV,AEROVIRONMENT INC,BBG000GX14P2
AES,AES CORP,BBG000C23KJ3
PAEHF,AET&D HOLDINGS NO 1 PTY LTD,BBG003Q32JD0
AEZS,AETERNA ZENTARIS INC,BBG000LZRK22
AEMD,AETHLON MEDICAL INC,BBG000L78XT8
AET,AETNA INC,BBG000FJLFX8
ATRM,AETRIUM INC,BBG000BJ5RG3
AGRUF,AF GRUPPEN ASA,BBG003CG4349
AFAN,AF OCEAN INVESTMENT MANAGEME,BBG001R25V36
AFAP,AFA PROTECTIVE SYSTEMS INC,BBG000BK1C95
AFCJF,AFC AJAX,BBG000H4RV59
AFCT,AFC BUILDING TECHNOLOGIES IN,BBG002Z32HR1
AMG,AFFILIATED MANAGERS GROUP,BBG000C060M4
AFFL,AFFILIATED RESOURCES CORP,BBG000BKFC27
AFMD,AFFIMED THERAPEUTICS BV,BBG006R5SSH5
AFN,AFFINIA GROUP HOLDINGS INC,BBG000RP8KM7
AFYG,AFFINITY GOLD CORP,BBG000QWXQM2
AFFW,AFFINITY MEDIAWORKS CORP,BBG000C8KTC9
AFFN,AFFINITY NETWORKS INC,BBG000BCRLG7
RSSFF,AFFINOR GROWERS INC,BBG006C0BRN5
AFFM,AFFIRMATIVE INSURANCE HOLDIN,BBG000C0BW66
AFFU,AFFLUENCE CORP,BBG000QHZPT8
AFFY,AFFYMAX INC,BBG000DQRYV9
AFFX,AFFYMETRIX INC,BBG000GL8YG5
AFGRF,AFGRI LTD,BBG000BKNJC2
AFDVF,AFI DEVELOPMENT PLC - B SHS,BBG00181BF73
AFL,AFLAC INC,BBG000BBBNC6
IWKS,AFP IMAGING CORP,BBG000RZX6C9
AFRNF,AFREN PLC,BBG000R48M04
AFCMF,AFRI-CAN MARINE MINERALS CRP,BBG000C8NV59
KNPRF,AFRICA HYDROCARBONS INC,BBG000C4WM49
AOIFF,AFRICA OIL CORP,BBG000PW3BZ5
AFIMF,AFRICA-ISRAEL INV LTD,BBG000C40G92
AFRVF,AFRICAN BANK INVESTMENTS LTD,BBG000BBF229
ABGLF,AFRICAN BARRICK GOLD PLC,BBG000R5BY74
AFCSF,AFRICAN CONSOLIDATED RESOURC,BBG000PYVRC0
ACCS,AFRICAN COPPER CORP,BBG001YT1GC6
AGGFF,AFRICAN GOLD GROUP INC,BBG000PGP2P7
AFMCF,AFRICAN METALS CORP,BBG000H8WGH4
AMLZF,AFRICAN MINERALS LTD,BBG000QSK890
APOTF,AFRICAN POTASH LTD,BBG0045X52V9
AFQMF,AFRICAN QUEEN MINES LTD,BBG000VTKNB6
AFBOF,AFRICAN RAINBOW MINERALS LTD,BBG000DLZTG9
AFCRF,AFRICO RESOURCES LTD,BBG000QSFSQ3
FLMZF,AFTERMATH SILVER LTD,BBG001ZZWS68
AGGZF,AG GROWTH INTERNATIONAL INC,BBG000C7ZTV4
AGFDF,AGA RANGEMASTER GROUP PLC,BBG000D64738
ASKDF,AGAVE SILVER CORP,BBG000FXL8S9
AGCO,AGCO CORP,BBG000DCCZW2
AGESF,AGEAS,BBG000BS58Z4
GAGXF,AGENNIX AG,BBG000Q0N6J1
AIFS,AGENT INFORMATION SOFTWARE I,BBG000BG7CW2
AGMC,AGENT155 MEDIA CORP,BBG000BTJPL4
AGEN,AGENUS INC,BBG000C8SWQ9
AGFMF,AGF MANAGEMENT LTD-CLASS B,BBG000PSHD12
AFGVF,AGFA-GEVAERT NV,BBG000G27875
ARGKF,AGGREKO PLC,BBG000F4S209
AGPYF,AGILE PROPERTY HOLDINGS LTD,BBG000MZQ3J2
AGRX,AGILE THERAPEUTICS INC,BBG000PZHFB0
A,AGILENT TECHNOLOGIES INC,BBG000C2V3D6
A/WD,AGILENT TECHNOLOGIES INC-W/I,BBG0074Q9Q32
AGHEF,AGILITY HEALTH INC,BBG006WS8RV7
AGYS,AGILYSYS INC,BBG000BR74W6
AGIO,AGIOS PHARMACEUTICALS INC,BBG000QY4ZD0
AGCR,AGISS CORPORATION,BBG000BLDPQ2
AJXGF,AGJUNCTION INC,BBG000CGMB83
AGLNF,AGL ENERGY LTD,BBG000QNL934
GAS,AGL RESOURCES INC,BBG000BCKC47
